"customer_id","store_id","first_name","last_name","email","address_id","activebool","create_date","last_update","active","drank"
2,1,"Patricia","Johnson","patricia.johnson@sakilacustomer.org",6,True,"2006-02-14","2013-05-26 14:49:45.738",1,"1"
4,2,"Barbara","Jones","barbara.jones@sakilacustomer.org",8,True,"2006-02-14","2013-05-26 14:49:45.738",1,"2"
6,2,"Jennifer","Davis","jennifer.davis@sakilacustomer.org",10,True,"2006-02-14","2013-05-26 14:49:45.738",1,"3"
8,2,"Susan","Wilson","susan.wilson@sakilacustomer.org",12,True,"2006-02-14","2013-05-26 14:49:45.738",1,"4"
10,1,"Dorothy","Taylor","dorothy.taylor@sakilacustomer.org",14,True,"2006-02-14","2013-05-26 14:49:45.738",1,"5"
12,1,"Nancy","Thomas","nancy.thomas@sakilacustomer.org",16,True,"2006-02-14","2013-05-26 14:49:45.738",1,"6"
14,2,"Betty","White","betty.white@sakilacustomer.org",18,True,"2006-02-14","2013-05-26 14:49:45.738",1,"7"
16,2,"Sandra","Martin","sandra.martin@sakilacustomer.org",20,True,"2006-02-14","2013-05-26 14:49:45.738",0,"8"
18,2,"Carol","Garcia","carol.garcia@sakilacustomer.org",22,True,"2006-02-14","2013-05-26 14:49:45.738",1,"9"
20,2,"Sharon","Robinson","sharon.robinson@sakilacustomer.org",24,True,"2006-02-14","2013-05-26 14:49:45.738",1,"10"
22,1,"Laura","Rodriguez","laura.rodriguez@sakilacustomer.org",26,True,"2006-02-14","2013-05-26 14:49:45.738",1,"11"
24,2,"Kimberly","Lee","kimberly.lee@sakilacustomer.org",28,True,"2006-02-14","2013-05-26 14:49:45.738",1,"12"
26,2,"Jessica","Hall","jessica.hall@sakilacustomer.org",30,True,"2006-02-14","2013-05-26 14:49:45.738",1,"13"
28,1,"Cynthia","Young","cynthia.young@sakilacustomer.org",32,True,"2006-02-14","2013-05-26 14:49:45.738",1,"14"
30,1,"Melissa","King","melissa.king@sakilacustomer.org",34,True,"2006-02-14","2013-05-26 14:49:45.738",1,"15"
32,1,"Amy","Lopez","amy.lopez@sakilacustomer.org",36,True,"2006-02-14","2013-05-26 14:49:45.738",1,"16"
34,2,"Rebecca","Scott","rebecca.scott@sakilacustomer.org",38,True,"2006-02-14","2013-05-26 14:49:45.738",1,"17"
36,2,"Kathleen","Adams","kathleen.adams@sakilacustomer.org",40,True,"2006-02-14","2013-05-26 14:49:45.738",1,"18"
