"customer_id","store_id","first_name","last_name","email","address_id","activebool","create_date","last_update","active","drank"
1,1,"Mary","Smith","mary.smith@sakilacustomer.org",5,True,"2006-02-14","2013-05-26 14:49:45.738",1,"1"
3,1,"Linda","Williams","linda.williams@sakilacustomer.org",7,True,"2006-02-14","2013-05-26 14:49:45.738",1,"2"
5,1,"Elizabeth","Brown","elizabeth.brown@sakilacustomer.org",9,True,"2006-02-14","2013-05-26 14:49:45.738",1,"3"
7,1,"Maria","Miller","maria.miller@sakilacustomer.org",11,True,"2006-02-14","2013-05-26 14:49:45.738",1,"4"
9,2,"Margaret","Moore","margaret.moore@sakilacustomer.org",13,True,"2006-02-14","2013-05-26 14:49:45.738",1,"5"
11,2,"Lisa","Anderson","lisa.anderson@sakilacustomer.org",15,True,"2006-02-14","2013-05-26 14:49:45.738",1,"6"
13,2,"Karen","Jackson","karen.jackson@sakilacustomer.org",17,True,"2006-02-14","2013-05-26 14:49:45.738",1,"7"
15,1,"Helen","Harris","helen.harris@sakilacustomer.org",19,True,"2006-02-14","2013-05-26 14:49:45.738",1,"8"
17,1,"Donna","Thompson","donna.thompson@sakilacustomer.org",21,True,"2006-02-14","2013-05-26 14:49:45.738",1,"9"
19,1,"Ruth","Martinez","ruth.martinez@sakilacustomer.org",23,True,"2006-02-14","2013-05-26 14:49:45.738",1,"10"
21,1,"Michelle","Clark","michelle.clark@sakilacustomer.org",25,True,"2006-02-14","2013-05-26 14:49:45.738",1,"11"
23,2,"Sarah","Lewis","sarah.lewis@sakilacustomer.org",27,True,"2006-02-14","2013-05-26 14:49:45.738",1,"12"
25,1,"Deborah","Walker","deborah.walker@sakilacustomer.org",29,True,"2006-02-14","2013-05-26 14:49:45.738",1,"13"
27,2,"Shirley","Allen","shirley.allen@sakilacustomer.org",31,True,"2006-02-14","2013-05-26 14:49:45.738",1,"14"
29,2,"Angela","Hernandez","angela.hernandez@sakilacustomer.org",33,True,"2006-02-14","2013-05-26 14:49:45.738",1,"15"
31,2,"Brenda","Wright","brenda.wright@sakilacustomer.org",35,True,"2006-02-14","2013-05-26 14:49:45.738",1,"16"
33,2,"Anna","Hill","anna.hill@sakilacustomer.org",37,True,"2006-02-14","2013-05-26 14:49:45.738",1,"17"
